matchid,homeawaystatus,teamid,teamname,local_count,local_mins,local_starters,local_sub,local_bench,foreign_count,foreign_mins,foreign_starters,foreign_sub,foreign_bench,local_forward_mins,local_midfield_mins,local_defender_mins,local_goalkeeper_mins,foreign_forward_mins,foreign_midfield_mins,foreign_defender_mins,foreign_goalkeeper_mins,shots,fouls,corners,redCards,yellowCards,offsides,dribbles,goals,xgPerShot,avgDistance,xg,progressiveRuns,touchesInBox,foulsSuffered,shotsOnTarget,shotsBlocked,shotsOutsideBox,shotsOutsideBoxOnTarget,shotsOnPost,shotsWide,shotsFromBox,shotsFromBoxOnTarget,freeKicks,shotsFromDangerZone,totalThrowIns,leftThrowIns,rightThrowIns,possessionPercent,purePossessionTime,possessionNumber,avgPossessionDuration,reachingOpponentHalf,reachingOpponentBox,possession1-15,possession16-30,possession31-45,possession46-60,possession61-75,possession76-90,possession91-105,possession106-120,minutesOfPossession1-15,minutesOfPossession16-30,minutesOfPossession31-45,minutesOfPossession46-60,minutesOfPossession61-75,minutesOfPossession76-90,minutesOfPossession91-105,minutesOfPossession106-120,totalshots,withShots,positionalAttack,positionalWithShots,counterAttacks,freeKicksWithShot,cornersWithShot,tackles,interceptions,clearances,ppda,oppo_shots,oppo_fouls,oppo_corners,oppo_redCards,oppo_yellowCards,oppo_offsides,oppo_dribbles,oppo_goals,oppo_xgPerShot,oppo_avgDistance,oppo_xg,oppo_progressiveRuns,oppo_touchesInBox,oppo_foulsSuffered,oppo_shotsOnTarget,oppo_shotsBlocked,oppo_shotsOutsideBox,oppo_shotsOutsideBoxOnTarget,oppo_shotsOnPost,oppo_shotsWide,oppo_shotsFromBox,oppo_shotsFromBoxOnTarget,oppo_freeKicks,oppo_shotsFromDangerZone,oppo_totalThrowIns,oppo_leftThrowIns,oppo_rightThrowIns,oppo_possessionPercent,oppo_purePossessionTime,oppo_possessionNumber,oppo_avgPossessionDuration,oppo_reachingOpponentHalf,oppo_reachingOpponentBox,oppo_possession1-15,oppo_possession16-30,oppo_possession31-45,oppo_possession46-60,oppo_possession61-75,oppo_possession76-90,oppo_possession91-105,oppo_possession106-120,oppo_minutesOfPossession1-15,oppo_minutesOfPossession16-30,oppo_minutesOfPossession31-45,oppo_minutesOfPossession46-60,oppo_minutesOfPossession61-75,oppo_minutesOfPossession76-90,oppo_minutesOfPossession91-105,oppo_minutesOfPossession106-120,oppo_totalshots,oppo_withShots,oppo_positionalAttack,oppo_positionalWithShots,oppo_counterAttacks,oppo_freeKicksWithShot,oppo_cornersWithShot,oppo_tackles,oppo_interceptions,oppo_clearances,oppo_ppda,season
5580387,away,14875,Hougang United,13,702,8,4,1,4,288,3,1,0,162,189,261,90,0,113,175,0,10,5,4,0,0,1,23,1,0.115,17.9,1.153,12,15,8,3,2,3,0,1,4,7,3,2,5,29,16,13,64,"1 day, 7:45:00",97,0:19:00,61,13,66,61,57,62,64,72,0,0,6:18:00,6:38:00,4:32:00,4:15:00,4:01:00,5:58:00,0:00:00,0:00:00,37,10,26,8,1,1,0,4,20,9,15.4,10,5,4,0,0,1,23,1,0.115,17.9,1.153,12,15,8,3,2,3,0,1,4,7,3,2,5,29,16,13,64,"1 day, 7:45:00",97,0:19:00,61,13,66,61,57,62,64,72,0,0,6:18:00,6:38:00,4:32:00,4:15:00,4:01:00,5:58:00,0:00:00,0:00:00,37,10,26,8,1,1,0,4,20,9,15.4,2024
5580388,home,14875,Hougang United,14,622,8,1,5,6,368,3,3,0,126,226,180,90,98,90,180,0,8,8,3,0,2,1,18,2,0.084,18.1,0.6748,19,15,6,3,4,3,1,0,1,5,2,2,3,18,13,5,49,"1 day, 3:07:00",96,0:16:00,54,13,56,54,40,53,47,47,0,0,5:50:00,5:13:00,5:09:00,4:32:00,2:51:00,3:30:00,0:00:00,0:00:00,34,8,26,7,0,0,0,4,29,8,18.5,8,8,3,0,2,1,18,2,0.084,18.1,0.6748,19,15,6,3,4,3,1,0,1,5,2,2,3,18,13,5,49,"1 day, 3:07:00",96,0:16:00,54,13,56,54,40,53,47,47,0,0,5:50:00,5:13:00,5:09:00,4:32:00,2:51:00,3:30:00,0:00:00,0:00:00,34,8,26,7,0,0,0,4,29,8,18.5,2024
5580388,away,14870,Geylang International,14,450,5,3,6,6,540,6,0,0,90,165,105,90,90,270,180,0,12,6,4,0,1,4,30,6,0.261,14,3.129,21,19,7,6,5,3,1,0,1,9,5,2,7,26,12,14,51,"1 day, 4:06:00",99,0:17:00,58,16,44,46,60,47,53,53,0,0,4:34:00,4:28:00,7:50:00,4:02:00,3:09:00,4:00:00,0:00:00,0:00:00,50,11,42,8,1,1,2,3,49,15,17.6,12,6,4,0,1,4,30,6,0.261,14,3.129,21,19,7,6,5,3,1,0,1,9,5,2,7,26,12,14,51,"1 day, 4:06:00",99,0:17:00,58,16,44,46,60,47,53,53,0,0,4:34:00,4:28:00,7:50:00,4:02:00,3:09:00,4:00:00,0:00:00,0:00:00,50,11,42,8,1,1,2,3,49,15,17.6,2024
5580389,home,14866,Albirex Niigata,15,591,7,1,7,5,399,4,1,0,180,141,180,90,90,129,180,0,12,3,5,1,2,1,18,3,0.126,16.2,1.515,7,18,9,6,3,2,0,1,2,10,6,4,7,21,5,16,44,21:48:00,88,0:14:00,38,15,36,60,39,66,39,38,0,0,3:17:00,4:13:00,2:41:00,3:33:00,3:45:00,4:16:00,0:00:00,0:00:00,33,12,20,5,0,1,0,5,40,23,18.9,12,3,5,1,2,1,18,3,0.126,16.2,1.515,7,18,9,6,3,2,0,1,2,10,6,4,7,21,5,16,44,21:48:00,88,0:14:00,38,15,36,60,39,66,39,38,0,0,3:17:00,4:13:00,2:41:00,3:33:00,3:45:00,4:16:00,0:00:00,0:00:00,33,12,20,5,0,1,0,5,40,23,18.9,2024
5580389,away,14867,Young Lions,15,592,7,4,4,5,360,4,1,0,119,100,283,90,90,170,100,0,16,9,5,0,1,1,19,2,0.205,13,3.276,5,26,3,6,2,3,1,2,6,13,5,1,10,24,10,14,56,"1 day, 3:48:00",92,0:18:00,65,23,64,40,61,34,61,62,0,0,5:54:00,2:51:00,4:09:00,1:50:00,5:55:00,7:06:00,0:00:00,0:00:00,46,16,39,12,0,1,1,8,28,21,7.7,16,9,5,0,1,1,19,2,0.205,13,3.276,5,26,3,6,2,3,1,2,6,13,5,1,10,24,10,14,56,"1 day, 3:48:00",92,0:18:00,65,23,64,40,61,34,61,62,0,0,5:54:00,2:51:00,4:09:00,1:50:00,5:55:00,7:06:00,0:00:00,0:00:00,46,16,39,12,0,1,1,8,28,21,7.7,2024
5580390,home,14869,Lion City Sailors,13,490,5,2,6,7,445,6,1,0,90,136,174,90,159,100,186,0,8,7,3,0,2,1,22,0,0.043,22.7,0.3404,9,10,10,2,2,4,1,1,3,4,1,1,1,19,13,6,45,21:11:00,99,0:12:00,36,9,58,44,47,52,32,33,0,0,5:03:00,2:53:00,4:10:00,4:29:00,2:26:00,2:08:00,0:00:00,0:00:00,24,7,14,4,2,1,0,5,37,29,21.6,8,7,3,0,2,1,22,0,0.043,22.7,0.3404,9,10,10,2,2,4,1,1,3,4,1,1,1,19,13,6,45,21:11:00,99,0:12:00,36,9,58,44,47,52,32,33,0,0,5:03:00,2:53:00,4:10:00,4:29:00,2:26:00,2:08:00,0:00:00,0:00:00,24,7,14,4,2,1,0,5,37,29,21.6,2024
5580390,away,19382,Brunei DPMM,0,0,0,0,0,19,1040,11,3,5,0,0,0,0,336,526,88,90,25,10,14,0,3,3,32,2,0.14,17,3.487,20,27,5,7,4,11,3,1,13,14,4,3,12,20,13,7,55,"1 day, 1:59:00",108,0:14:00,72,22,42,56,53,48,68,67,0,0,3:42:00,3:44:00,4:47:00,4:12:00,5:12:00,4:19:00,0:00:00,0:00:00,58,24,40,17,0,1,3,1,26,16,9.4,25,10,14,0,3,3,32,2,0.14,17,3.487,20,27,5,7,4,11,3,1,13,14,4,3,12,20,13,7,55,"1 day, 1:59:00",108,0:14:00,72,22,42,56,53,48,68,67,0,0,3:42:00,3:44:00,4:47:00,4:12:00,5:12:00,4:19:00,0:00:00,0:00:00,58,24,40,17,0,1,3,1,26,16,9.4,2024
5580391,home,14873,Tanjong Pagar Utd,14,453,5,3,6,6,537,6,0,0,79,26,258,90,177,180,180,0,27,13,9,0,1,0,24,3,0.151,17.5,4.076,24,43,6,11,3,10,2,1,12,17,9,1,12,16,8,8,71,"1 day, 11:15:00",103,0:20:00,76,34,83,74,70,71,50,72,0,0,7:11:00,4:31:00,8:46:00,5:43:00,3:10:00,5:54:00,0:00:00,0:00:00,68,26,48,16,2,0,3,3,33,17,3.5,27,13,9,0,1,0,24,3,0.151,17.5,4.076,24,43,6,11,3,10,2,1,12,17,9,1,12,16,8,8,71,"1 day, 11:15:00",103,0:20:00,76,34,83,74,70,71,50,72,0,0,7:11:00,4:31:00,8:46:00,5:43:00,3:10:00,5:54:00,0:00:00,0:00:00,68,26,48,16,2,0,3,3,33,17,3.5,2024
5580391,away,14868,Tampines Rovers,14,540,6,4,4,6,450,5,1,0,113,291,46,90,180,90,180,0,8,7,2,0,1,3,13,0,0.083,20.3,0.6609,5,9,13,2,2,4,2,0,4,4,0,2,3,21,9,12,29,14:37:00,102,0:08:00,42,7,17,26,30,29,50,28,0,0,1:28:00,1:32:00,3:47:00,2:23:00,3:09:00,2:15:00,0:00:00,0:00:00,25,7,14,6,0,1,0,5,44,18,31.9,8,7,2,0,1,3,13,0,0.083,20.3,0.6609,5,9,13,2,2,4,2,0,4,4,0,2,3,21,9,12,29,14:37:00,102,0:08:00,42,7,17,26,30,29,50,28,0,0,1:28:00,1:32:00,3:47:00,2:23:00,3:09:00,2:15:00,0:00:00,0:00:00,25,7,14,6,0,1,0,5,44,18,31.9,2024
5580392,home,14875,Hougang United,14,536,6,3,5,6,454,5,1,0,12,180,254,90,184,90,180,0,12,9,5,0,1,1,19,3,0.096,18.2,1.148,13,16,11,8,1,4,2,0,3,8,6,3,4,18,11,7,37,16:31:00,107,0:09:00,39,12,42,33,37,28,34,44,0,0,3:06:00,2:27:00,2:37:00,1:54:00,2:31:00,3:53:00,0:00:00,0:00:00,24,11,17,7,1,1,1,0,32,19,27.2,12,9,5,0,1,1,19,3,0.096,18.2,1.148,13,16,11,8,1,4,2,0,3,8,6,3,4,18,11,7,37,16:31:00,107,0:09:00,39,12,42,33,37,28,34,44,0,0,3:06:00,2:27:00,2:37:00,1:54:00,2:31:00,3:53:00,0:00:00,0:00:00,24,11,17,7,1,1,1,0,32,19,27.2,2024
5580392,away,14871,Balestier Khalsa,13,472,5,4,4,7,518,6,0,1,0,22,360,90,254,264,0,0,20,11,9,0,2,2,22,3,0.23,13.8,4.605,17,27,8,7,6,4,1,1,6,16,6,2,13,23,9,14,63,"1 day, 4:29:00",110,0:15:00,75,22,58,67,63,72,66,56,0,0,4:15:00,5:00:00,4:29:00,4:53:00,4:49:00,5:01:00,0:00:00,0:00:00,54,19,37,13,1,0,4,4,44,10,5.8,20,11,9,0,2,2,22,3,0.23,13.8,4.605,17,27,8,7,6,4,1,1,6,16,6,2,13,23,9,14,63,"1 day, 4:29:00",110,0:15:00,75,22,58,67,63,72,66,56,0,0,4:15:00,5:00:00,4:29:00,4:53:00,4:49:00,5:01:00,0:00:00,0:00:00,54,19,37,13,1,0,4,4,44,10,5.8,2024
5580393,home,14873,Tanjong Pagar Utd,14,496,6,2,6,6,494,5,1,0,24,136,246,90,134,270,90,0,20,8,8,0,3,2,21,3,0.148,18.2,2.968,13,21,9,7,5,11,3,0,8,9,4,6,8,16,10,6,52,23:26:00,101,0:13:00,61,16,57,56,49,57,36,48,0,0,5:47:00,4:16:00,3:49:00,3:48:00,1:47:00,3:55:00,0:00:00,0:00:00,47,19,25,7,1,4,3,3,54,30,13.1,20,8,8,0,3,2,21,3,0.148,18.2,2.968,13,21,9,7,5,11,3,0,8,9,4,6,8,16,10,6,52,23:26:00,101,0:13:00,61,16,57,56,49,57,36,48,0,0,5:47:00,4:16:00,3:49:00,3:48:00,1:47:00,3:55:00,0:00:00,0:00:00,47,19,25,7,1,4,3,3,54,30,13.1,2024
5580393,away,14867,Young Lions,16,630,7,4,5,4,360,4,0,0,121,128,291,90,90,180,90,0,19,10,3,0,0,2,14,2,0.108,24.4,2.048,5,15,8,7,10,11,3,0,2,8,4,3,6,18,9,9,48,22:04:00,100,0:13:00,60,14,43,44,51,43,64,52,0,0,4:20:00,3:22:00,3:56:00,2:53:00,3:15:00,4:14:00,0:00:00,0:00:00,42,18,34,13,0,1,3,5,44,15,9.5,19,10,3,0,0,2,14,2,0.108,24.4,2.048,5,15,8,7,10,11,3,0,2,8,4,3,6,18,9,9,48,22:04:00,100,0:13:00,60,14,43,44,51,43,64,52,0,0,4:20:00,3:22:00,3:56:00,2:53:00,3:15:00,4:14:00,0:00:00,0:00:00,42,18,34,13,0,1,3,5,44,15,9.5,2024
5580394,home,19382,Brunei DPMM,0,0,0,0,0,18,1027,11,3,4,0,0,0,0,329,482,126,90,8,15,1,1,6,1,33,3,0.194,20.6,1.552,8,12,8,4,1,3,0,0,3,5,4,2,4,12,9,3,40,18:13:00,88,0:12:00,42,7,33,33,32,67,44,30,0,0,2:18:00,1:53:00,3:24:00,5:58:00,2:31:00,2:07:00,0:00:00,0:00:00,27,7,19,5,0,1,1,4,26,17,16.2,8,15,1,1,6,1,33,3,0.194,20.6,1.552,8,12,8,4,1,3,0,0,3,5,4,2,4,12,9,3,40,18:13:00,88,0:12:00,42,7,33,33,32,67,44,30,0,0,2:18:00,1:53:00,3:24:00,5:58:00,2:31:00,2:07:00,0:00:00,0:00:00,27,7,19,5,0,1,1,4,26,17,16.2,2024
5580394,away,14870,Geylang International,13,485,5,2,6,6,505,6,0,0,90,125,180,90,90,235,180,0,13,9,7,0,2,3,21,3,0.15,14,1.949,8,23,13,9,2,3,1,0,2,10,8,2,8,15,4,11,60,"1 day, 2:53:00",98,0:16:00,68,20,67,67,68,33,56,70,0,0,4:46:00,3:46:00,7:15:00,2:52:00,3:10:00,4:59:00,0:00:00,0:00:00,40,13,25,7,0,0,4,3,28,10,8,13,9,7,0,2,3,21,3,0.15,14,1.949,8,23,13,9,2,3,1,0,2,10,8,2,8,15,4,11,60,"1 day, 2:53:00",98,0:16:00,68,20,67,67,68,33,56,70,0,0,4:46:00,3:46:00,7:15:00,2:52:00,3:10:00,4:59:00,0:00:00,0:00:00,40,13,25,7,0,0,4,3,28,10,8,2024
5580395,home,14866,Albirex Niigata,13,553,6,3,4,5,437,5,0,0,197,117,149,90,90,167,180,0,24,12,6,0,1,3,23,7,0.133,16.1,3.186,25,30,3,10,4,4,0,1,9,20,10,0,12,19,10,9,40,20:11:00,99,0:12:00,68,25,38,32,38,44,34,48,0,0,2:52:00,2:20:00,3:39:00,3:41:00,2:44:00,4:52:00,0:00:00,0:00:00,47,24,36,18,3,0,3,4,28,14,12.7,24,12,6,0,1,3,23,7,0.133,16.1,3.186,25,30,3,10,4,4,0,1,9,20,10,0,12,19,10,9,40,20:11:00,99,0:12:00,68,25,38,32,38,44,34,48,0,0,2:52:00,2:20:00,3:39:00,3:41:00,2:44:00,4:52:00,0:00:00,0:00:00,47,24,36,18,3,0,3,4,28,14,12.7,2024
5580395,away,14869,Lion City Sailors,13,434,5,4,4,7,476,6,1,0,23,187,134,90,165,100,211,0,8,3,2,0,0,1,15,1,0.075,16,0.6008,20,12,12,3,1,2,0,0,4,6,3,2,6,9,3,6,60,"1 day, 6:53:00",99,0:18:00,52,11,62,68,62,56,66,52,0,0,4:41:00,4:54:00,6:01:00,4:41:00,5:17:00,5:16:00,0:00:00,0:00:00,32,8,20,4,0,2,1,3,39,26,20.8,8,3,2,0,0,1,15,1,0.075,16,0.6008,20,12,12,3,1,2,0,0,4,6,3,2,6,9,3,6,60,"1 day, 6:53:00",99,0:18:00,52,11,62,68,62,56,66,52,0,0,4:41:00,4:54:00,6:01:00,4:41:00,5:17:00,5:16:00,0:00:00,0:00:00,32,8,20,4,0,2,1,3,39,26,20.8,2024
5580396,home,14869,Lion City Sailors,13,450,5,4,4,7,486,6,1,0,79,145,136,90,180,100,206,0,11,4,5,0,3,4,17,1,0.091,19.2,0.9975,16,11,16,2,4,4,1,0,5,7,1,2,4,14,9,5,51,"1 day, 2:29:00",111,0:14:00,57,10,55,46,51,30,60,62,0,0,3:12:00,4:22:00,4:31:00,2:37:00,5:15:00,6:31:00,0:00:00,0:00:00,36,9,20,6,1,2,2,1,45,12,19,11,4,5,0,3,4,17,1,0.091,19.2,0.9975,16,11,16,2,4,4,1,0,5,7,1,2,4,14,9,5,51,"1 day, 2:29:00",111,0:14:00,57,10,55,46,51,30,60,62,0,0,3:12:00,4:22:00,4:31:00,2:37:00,5:15:00,6:31:00,0:00:00,0:00:00,36,9,20,6,1,2,2,1,45,12,19,2024
5580396,away,14870,Geylang International,14,456,5,3,6,6,534,6,0,0,80,94,192,90,90,264,180,0,19,16,4,0,3,2,21,1,0.087,16.3,1.66,21,29,4,3,6,5,0,0,10,14,3,3,8,16,6,10,49,"1 day, 1:31:00",97,0:15:00,69,22,45,54,49,70,40,38,0,0,2:36:00,5:04:00,4:19:00,6:02:00,3:25:00,4:03:00,0:00:00,0:00:00,50,19,38,10,0,1,2,2,30,12,12.9,19,16,4,0,3,2,21,1,0.087,16.3,1.66,21,29,4,3,6,5,0,0,10,14,3,3,8,16,6,10,49,"1 day, 1:31:00",97,0:15:00,69,22,45,54,49,70,40,38,0,0,2:36:00,5:04:00,4:19:00,6:02:00,3:25:00,4:03:00,0:00:00,0:00:00,50,19,38,10,0,1,2,2,30,12,12.9,2024
5580397,home,14873,Tanjong Pagar Utd,14,542,6,3,5,6,448,5,0,1,101,68,283,90,178,180,90,0,22,7,5,0,1,2,34,3,0.151,16.9,3.327,14,25,10,10,5,9,3,0,7,13,7,4,9,20,7,13,55,"1 day, 2:11:00",100,0:15:00,51,21,67,62,45,40,42,65,0,0,5:56:00,5:36:00,4:21:00,2:22:00,2:50:00,5:04:00,0:00:00,0:00:00,41,21,30,13,2,1,3,9,49,16,9.2,22,7,5,0,1,2,34,3,0.151,16.9,3.327,14,25,10,10,5,9,3,0,7,13,7,4,9,20,7,13,55,"1 day, 2:11:00",100,0:15:00,51,21,67,62,45,40,42,65,0,0,5:56:00,5:36:00,4:21:00,2:22:00,2:50:00,5:04:00,0:00:00,0:00:00,41,21,30,13,2,1,3,9,49,16,9.2,2024
5580397,away,19382,Brunei DPMM,0,0,0,0,0,19,1054,11,3,5,0,0,0,0,334,450,180,90,15,11,6,0,1,1,32,2,0.12,21.7,1.804,10,19,6,3,6,8,0,2,4,7,3,2,4,12,4,8,45,21:41:00,94,0:13:00,55,12,33,38,55,60,58,35,0,0,2:53:00,3:24:00,5:13:00,3:32:00,3:54:00,2:42:00,0:00:00,0:00:00,37,12,26,9,0,2,1,3,44,13,9.7,15,11,6,0,1,1,32,2,0.12,21.7,1.804,10,19,6,3,6,8,0,2,4,7,3,2,4,12,4,8,45,21:41:00,94,0:13:00,55,12,33,38,55,60,58,35,0,0,2:53:00,3:24:00,5:13:00,3:32:00,3:54:00,2:42:00,0:00:00,0:00:00,37,12,26,9,0,2,1,3,44,13,9.7,2024
5580398,home,14867,Young Lions,16,630,7,3,6,4,360,4,0,0,145,125,270,90,90,180,90,0,29,10,13,0,0,0,17,3,0.132,17.7,3.838,12,41,18,10,8,14,4,0,11,15,6,3,14,27,13,14,67,"1 day, 4:29:00",121,0:14:00,84,31,72,80,77,66,67,48,0,0,6:25:00,5:15:00,4:28:00,4:14:00,3:05:00,5:00:00,0:00:00,0:00:00,67,28,48,19,1,3,5,3,25,8,7.4,29,10,13,0,0,0,17,3,0.132,17.7,3.838,12,41,18,10,8,14,4,0,11,15,6,3,14,27,13,14,67,"1 day, 4:29:00",121,0:14:00,84,31,72,80,77,66,67,48,0,0,6:25:00,5:15:00,4:28:00,4:14:00,3:05:00,5:00:00,0:00:00,0:00:00,67,28,48,19,1,3,5,3,25,8,7.4,2024
5580398,away,14871,Balestier Khalsa,13,510,5,2,6,7,480,6,0,1,44,0,376,90,226,254,0,0,4,20,1,0,5,2,11,2,0.176,27.2,0.7036,5,9,10,3,0,2,1,0,1,2,2,2,1,20,5,15,33,14:18:00,98,0:08:00,28,5,28,20,23,34,33,52,0,0,2:29:00,1:20:00,1:22:00,2:11:00,1:31:00,5:24:00,0:00:00,0:00:00,19,4,13,1,2,0,0,6,58,41,10.8,4,20,1,0,5,2,11,2,0.176,27.2,0.7036,5,9,10,3,0,2,1,0,1,2,2,2,1,20,5,15,33,14:18:00,98,0:08:00,28,5,28,20,23,34,33,52,0,0,2:29:00,1:20:00,1:22:00,2:11:00,1:31:00,5:24:00,0:00:00,0:00:00,19,4,13,1,2,0,0,6,58,41,10.8,2024
5580399,home,14875,Hougang United,13,476,5,4,4,6,514,6,0,0,36,162,188,90,244,90,180,0,16,8,10,0,1,0,31,5,0.126,17.5,2.019,23,29,10,9,4,6,2,0,3,10,7,7,5,17,8,9,66,"1 day, 10:16:00",109,0:18:00,81,25,65,62,72,70,48,76,0,0,5:55:00,5:00:00,6:20:00,6:15:00,3:33:00,7:09:00,0:00:00,0:00:00,69,15,50,10,0,4,2,3,26,13,5,16,8,10,0,1,0,31,5,0.126,17.5,2.019,23,29,10,9,4,6,2,0,3,10,7,7,5,17,8,9,66,"1 day, 10:16:00",109,0:18:00,81,25,65,62,72,70,48,76,0,0,5:55:00,5:00:00,6:20:00,6:15:00,3:33:00,7:09:00,0:00:00,0:00:00,69,15,50,10,0,4,2,3,26,13,5,2024
5580399,away,14868,Tampines Rovers,14,550,6,4,4,6,440,5,1,0,102,178,180,90,170,90,180,0,8,10,2,0,4,2,44,1,0.063,18.2,0.5037,14,9,6,2,2,3,1,0,4,5,1,0,3,23,12,11,34,17:30:00,99,0:10:00,30,9,35,38,28,30,52,24,0,0,3:10:00,3:02:00,2:29:00,2:44:00,3:48:00,2:15:00,0:00:00,0:00:00,23,8,18,5,1,0,2,2,40,27,35.9,8,10,2,0,4,2,44,1,0.063,18.2,0.5037,14,9,6,2,2,3,1,0,4,5,1,0,3,23,12,11,34,17:30:00,99,0:10:00,30,9,35,38,28,30,52,24,0,0,3:10:00,3:02:00,2:29:00,2:44:00,3:48:00,2:15:00,0:00:00,0:00:00,23,8,18,5,1,0,2,2,40,27,35.9,2024
5580400,home,19382,Brunei DPMM,0,0,0,0,0,20,1051,11,2,7,0,0,0,0,334,602,25,90,25,7,6,0,1,4,28,4,0.11,14.9,2.738,14,35,13,9,8,3,0,0,8,22,9,4,13,23,12,11,51,22:15:00,120,0:11:00,65,29,60,49,54,40,54,48,0,0,5:55:00,4:11:00,2:50:00,2:49:00,2:43:00,3:44:00,0:00:00,0:00:00,48,24,36,17,1,3,3,9,46,20,9.1,25,7,6,0,1,4,28,4,0.11,14.9,2.738,14,35,13,9,8,3,0,0,8,22,9,4,13,23,12,11,51,22:15:00,120,0:11:00,65,29,60,49,54,40,54,48,0,0,5:55:00,4:11:00,2:50:00,2:49:00,2:43:00,3:44:00,0:00:00,0:00:00,48,24,36,17,1,3,3,9,46,20,9.1,2024
5580400,away,14871,Balestier Khalsa,13,652,7,3,3,7,338,4,1,2,68,66,428,90,202,136,0,0,20,15,2,0,0,1,39,2,0.116,18.1,2.315,23,24,5,12,3,8,4,0,5,12,8,2,5,22,12,10,49,21:18:00,109,0:11:00,75,20,40,51,46,60,46,52,0,0,3:56:00,4:19:00,2:24:00,4:13:00,2:18:00,4:06:00,0:00:00,0:00:00,45,20,36,17,3,0,0,4,32,16,12.3,20,15,2,0,0,1,39,2,0.116,18.1,2.315,23,24,5,12,3,8,4,0,5,12,8,2,5,22,12,10,49,21:18:00,109,0:11:00,75,20,40,51,46,60,46,52,0,0,3:56:00,4:19:00,2:24:00,4:13:00,2:18:00,4:06:00,0:00:00,0:00:00,45,20,36,17,3,0,0,4,32,16,12.3,2024
5580401,home,14866,Albirex Niigata,13,643,7,2,4,5,347,4,0,1,339,34,180,90,90,167,90,0,6,16,0,0,1,1,18,0,0.089,16.8,0.5367,10,8,7,0,2,2,0,0,4,4,0,1,3,11,7,4,47,"1 day, 2:50:00",80,0:20:00,37,7,41,45,60,52,33,47,0,0,4:17:00,3:48:00,7:34:00,4:31:00,3:09:00,3:30:00,0:00:00,0:00:00,21,6,18,4,0,1,0,6,44,20,16.1,6,16,0,0,1,1,18,0,0.089,16.8,0.5367,10,8,7,0,2,2,0,0,4,4,0,1,3,11,7,4,47,"1 day, 2:50:00",80,0:20:00,37,7,41,45,60,52,33,47,0,0,4:17:00,3:48:00,7:34:00,4:31:00,3:09:00,3:30:00,0:00:00,0:00:00,21,6,18,4,0,1,0,6,44,20,16.1,2024
5580401,away,14870,Geylang International,13,451,5,5,3,6,539,6,0,0,90,91,180,90,90,269,180,0,19,8,1,0,1,1,25,6,0.204,18.6,3.883,9,20,15,12,4,9,4,1,2,10,8,2,8,15,5,10,53,"1 day, 6:42:00",85,0:21:00,64,16,59,55,40,48,67,53,0,0,6:11:00,4:42:00,5:06:00,4:11:00,6:28:00,4:00:00,0:00:00,0:00:00,48,17,35,14,0,1,0,4,19,6,10.9,19,8,1,0,1,1,25,6,0.204,18.6,3.883,9,20,15,12,4,9,4,1,2,10,8,2,8,15,5,10,53,"1 day, 6:42:00",85,0:21:00,64,16,59,55,40,48,67,53,0,0,6:11:00,4:42:00,5:06:00,4:11:00,6:28:00,4:00:00,0:00:00,0:00:00,48,17,35,14,0,1,0,4,19,6,10.9,2024
5580402,home,14867,Young Lions,16,630,7,4,5,4,360,4,0,0,68,136,336,90,90,180,90,0,8,6,2,0,2,2,17,0,0.071,17.9,0.5692,15,13,6,2,0,4,1,1,5,4,1,1,2,23,15,8,42,21:11:00,111,0:11:00,43,10,36,43,41,34,63,40,0,0,3:07:00,3:27:00,4:00:00,2:03:00,3:52:00,4:39:00,0:00:00,0:00:00,37,8,31,7,2,0,0,5,61,26,13.9,8,6,2,0,2,2,17,0,0.071,17.9,0.5692,15,13,6,2,0,4,1,1,5,4,1,1,2,23,15,8,42,21:11:00,111,0:11:00,43,10,36,43,41,34,63,40,0,0,3:07:00,3:27:00,4:00:00,2:03:00,3:52:00,4:39:00,0:00:00,0:00:00,37,8,31,7,2,0,0,5,61,26,13.9,2024
5580402,away,14868,Tampines Rovers,14,538,6,5,3,6,452,5,0,1,90,268,90,90,182,90,180,0,22,7,12,0,2,1,26,2,0.143,16.5,3.149,15,36,6,5,7,8,1,1,9,14,4,0,11,18,5,13,58,"1 day, 5:15:00",114,0:15:00,62,25,64,57,59,66,37,60,0,0,5:40:00,4:30:00,5:52:00,3:58:00,2:19:00,6:53:00,0:00:00,0:00:00,57,21,39,16,1,0,5,6,32,6,9.1,22,7,12,0,2,1,26,2,0.143,16.5,3.149,15,36,6,5,7,8,1,1,9,14,4,0,11,18,5,13,58,"1 day, 5:15:00",114,0:15:00,62,25,64,57,59,66,37,60,0,0,5:40:00,4:30:00,5:52:00,3:58:00,2:19:00,6:53:00,0:00:00,0:00:00,57,21,39,16,1,0,5,6,32,6,9.1,2024
