matchid,homeawaystatus,teamid,teamname,local_count,local_mins,local_starters,local_sub,local_bench,foreign_count,foreign_mins,foreign_starters,foreign_sub,foreign_bench,local_forward_mins,local_midfield_mins,local_defender_mins,local_goalkeeper_mins,foreign_forward_mins,foreign_midfield_mins,foreign_defender_mins,foreign_goalkeeper_mins,shots,fouls,corners,redCards,yellowCards,offsides,dribbles,goals,xgPerShot,avgDistance,xg,progressiveRuns,touchesInBox,foulsSuffered,shotsOnTarget,shotsBlocked,shotsOutsideBox,shotsOutsideBoxOnTarget,shotsOnPost,shotsWide,shotsFromBox,shotsFromBoxOnTarget,freeKicks,shotsFromDangerZone,totalThrowIns,leftThrowIns,rightThrowIns,possessionPercent,purePossessionTime,possessionNumber,avgPossessionDuration,reachingOpponentHalf,reachingOpponentBox,possession1-15,possession16-30,possession31-45,possession46-60,possession61-75,possession76-90,possession91-105,possession106-120,minutesOfPossession1-15,minutesOfPossession16-30,minutesOfPossession31-45,minutesOfPossession46-60,minutesOfPossession61-75,minutesOfPossession76-90,minutesOfPossession91-105,minutesOfPossession106-120,totalshots,withShots,positionalAttack,positionalWithShots,counterAttacks,freeKicksWithShot,cornersWithShot,tackles,interceptions,clearances,ppda,oppo_shots,oppo_fouls,oppo_corners,oppo_redCards,oppo_yellowCards,oppo_offsides,oppo_dribbles,oppo_goals,oppo_xgPerShot,oppo_avgDistance,oppo_xg,oppo_progressiveRuns,oppo_touchesInBox,oppo_foulsSuffered,oppo_shotsOnTarget,oppo_shotsBlocked,oppo_shotsOutsideBox,oppo_shotsOutsideBoxOnTarget,oppo_shotsOnPost,oppo_shotsWide,oppo_shotsFromBox,oppo_shotsFromBoxOnTarget,oppo_freeKicks,oppo_shotsFromDangerZone,oppo_totalThrowIns,oppo_leftThrowIns,oppo_rightThrowIns,oppo_possessionPercent,oppo_purePossessionTime,oppo_possessionNumber,oppo_avgPossessionDuration,oppo_reachingOpponentHalf,oppo_reachingOpponentBox,oppo_possession1-15,oppo_possession16-30,oppo_possession31-45,oppo_possession46-60,oppo_possession61-75,oppo_possession76-90,oppo_possession91-105,oppo_possession106-120,oppo_minutesOfPossession1-15,oppo_minutesOfPossession16-30,oppo_minutesOfPossession31-45,oppo_minutesOfPossession46-60,oppo_minutesOfPossession61-75,oppo_minutesOfPossession76-90,oppo_minutesOfPossession91-105,oppo_minutesOfPossession106-120,oppo_totalshots,oppo_withShots,oppo_positionalAttack,oppo_positionalWithShots,oppo_counterAttacks,oppo_freeKicksWithShot,oppo_cornersWithShot,oppo_tackles,oppo_interceptions,oppo_clearances,oppo_ppda,season
5580425,away,19382,Brunei DPMM,0,0,0,0,0,20,1054,11,2,7,0,0,0,0,334,540,90,90,9,8,6,0,0,1,15,0,0.188,13.1,1.692,9,16,9,4,2,1,1,0,3,8,3,4,8,22,11,11,47,18:43:00,97,0:11:00,37,12,50,48,41,27,52,58,0,0,2:38:00,3:52:00,2:42:00,1:23:00,3:45:00,4:19:00,0:00:00,0:00:00,28,8,16,3,2,3,0,2,41,20,9.4,9,8,6,0,0,1,15,0,0.188,13.1,1.692,9,16,9,4,2,1,1,0,3,8,3,4,8,22,11,11,47,18:43:00,97,0:11:00,37,12,50,48,41,27,52,58,0,0,2:38:00,3:52:00,2:42:00,1:23:00,3:45:00,4:19:00,0:00:00,0:00:00,28,8,16,3,2,3,0,2,41,20,9.4,2024
5580426,home,14873,Tanjong Pagar Utd,14,455,5,5,4,6,535,6,0,0,44,136,185,90,178,267,90,0,20,7,9,0,2,1,25,5,0.137,17.2,2.746,15,28,5,8,5,6,2,0,7,14,6,1,10,14,2,12,52,"1 day, 1:16:00",96,0:15:00,56,24,59,45,54,45,63,47,0,0,5:17:00,4:00:00,4:14:00,3:02:00,5:09:00,3:33:00,0:00:00,0:00:00,40,19,26,14,1,1,2,0,57,11,10.7,20,7,9,0,2,1,25,5,0.137,17.2,2.746,15,28,5,8,5,6,2,0,7,14,6,1,10,14,2,12,52,"1 day, 1:16:00",96,0:15:00,56,24,59,45,54,45,63,47,0,0,5:17:00,4:00:00,4:14:00,3:02:00,5:09:00,3:33:00,0:00:00,0:00:00,40,19,26,14,1,1,2,0,57,11,10.7,2024
5580426,away,14875,Hougang United,14,468,5,3,6,6,522,6,0,0,18,180,180,90,175,90,257,0,16,5,4,0,1,2,24,1,0.151,19.7,2.415,20,14,7,4,6,9,1,1,5,7,3,3,5,14,3,11,48,23:03:00,92,0:15:00,58,13,41,55,46,55,37,53,0,0,3:41:00,4:53:00,3:38:00,3:40:00,3:05:00,4:03:00,0:00:00,0:00:00,37,14,28,11,0,3,1,4,38,12,11.7,16,5,4,0,1,2,24,1,0.151,19.7,2.415,20,14,7,4,6,9,1,1,5,7,3,3,5,14,3,11,48,23:03:00,92,0:15:00,58,13,41,55,46,55,37,53,0,0,3:41:00,4:53:00,3:38:00,3:40:00,3:05:00,4:03:00,0:00:00,0:00:00,37,14,28,11,0,3,1,4,38,12,11.7,2024
5580427,home,14868,Tampines Rovers,14,659,7,4,3,6,331,4,0,2,134,252,183,90,177,64,90,0,9,13,3,0,3,2,19,2,0.127,19.2,1.14,14,18,13,3,2,4,0,0,4,5,3,3,4,30,18,12,48,22:39:00,94,0:14:00,53,14,40,66,43,28,58,53,0,0,3:37:00,5:29:00,3:27:00,2:06:00,3:30:00,4:28:00,0:00:00,0:00:00,42,8,30,5,0,1,1,1,31,18,12.4,9,13,3,0,3,2,19,2,0.127,19.2,1.14,14,18,13,3,2,4,0,0,4,5,3,3,4,30,18,12,48,22:39:00,94,0:14:00,53,14,40,66,43,28,58,53,0,0,3:37:00,5:29:00,3:27:00,2:06:00,3:30:00,4:28:00,0:00:00,0:00:00,42,8,30,5,0,1,1,1,31,18,12.4,2024
5580427,away,14871,Balestier Khalsa,13,450,5,2,6,7,540,6,0,1,1,89,270,90,270,270,0,0,10,13,2,0,3,2,17,2,0.076,18.4,0.755,18,15,13,3,1,4,1,0,6,6,2,1,4,24,17,7,52,"1 day, 0:48:00",94,0:15:00,45,13,60,34,57,72,42,47,0,0,5:22:00,2:52:00,4:40:00,5:24:00,2:34:00,3:55:00,0:00:00,0:00:00,33,10,24,8,0,0,1,9,46,17,7.6,10,13,2,0,3,2,17,2,0.076,18.4,0.755,18,15,13,3,1,4,1,0,6,6,2,1,4,24,17,7,52,"1 day, 0:48:00",94,0:15:00,45,13,60,34,57,72,42,47,0,0,5:22:00,2:52:00,4:40:00,5:24:00,2:34:00,3:55:00,0:00:00,0:00:00,33,10,24,8,0,0,1,9,46,17,7.6,2024
5580428,home,14875,Hougang United,14,474,5,3,6,6,516,6,0,0,17,187,180,90,180,90,246,0,16,12,13,0,3,3,17,3,0.089,15.9,1.417,14,29,10,7,4,4,2,0,5,12,5,3,9,23,11,12,57,"1 day, 0:41:00",103,0:14:00,61,23,64,70,55,53,50,48,0,0,4:56:00,4:27:00,5:40:00,3:38:00,2:21:00,3:37:00,0:00:00,0:00:00,55,16,34,10,0,1,3,0,28,7,10.3,16,12,13,0,3,3,17,3,0.089,15.9,1.417,14,29,10,7,4,4,2,0,5,12,5,3,9,23,11,12,57,"1 day, 0:41:00",103,0:14:00,61,23,64,70,55,53,50,48,0,0,4:56:00,4:27:00,5:40:00,3:38:00,2:21:00,3:37:00,0:00:00,0:00:00,55,16,34,10,0,1,3,0,28,7,10.3,2024
5580428,away,14871,Balestier Khalsa,13,438,5,1,7,7,552,6,1,0,8,82,258,90,282,270,0,0,15,11,4,0,3,2,32,1,0.041,23.5,0.615,15,11,11,5,4,10,3,0,6,5,2,3,3,14,4,10,43,18:51:00,98,0:11:00,50,10,36,30,45,47,50,52,0,0,2:47:00,1:52:00,4:39:00,3:11:00,2:23:00,3:56:00,0:00:00,0:00:00,38,15,26,11,1,1,2,3,51,10,9.7,15,11,4,0,3,2,32,1,0.041,23.5,0.615,15,11,11,5,4,10,3,0,6,5,2,3,3,14,4,10,43,18:51:00,98,0:11:00,50,10,36,30,45,47,50,52,0,0,2:47:00,1:52:00,4:39:00,3:11:00,2:23:00,3:56:00,0:00:00,0:00:00,38,15,26,11,1,1,2,3,51,10,9.7,2024
5580429,home,14873,Tanjong Pagar Utd,15,584,6,4,5,5,406,5,0,0,82,98,314,90,180,180,46,0,18,12,8,0,1,3,14,1,0.165,17.7,2.975,18,14,5,6,7,9,3,0,5,9,3,1,7,20,13,7,49,"1 day, 1:24:00",119,0:12:00,78,13,53,55,37,38,50,60,0,0,4:22:00,4:50:00,4:04:00,2:24:00,2:47:00,6:54:00,0:00:00,0:00:00,53,17,45,12,0,1,4,1,25,1,10.7,18,12,8,0,1,3,14,1,0.165,17.7,2.975,18,14,5,6,7,9,3,0,5,9,3,1,7,20,13,7,49,"1 day, 1:24:00",119,0:12:00,78,13,53,55,37,38,50,60,0,0,4:22:00,4:50:00,4:04:00,2:24:00,2:47:00,6:54:00,0:00:00,0:00:00,53,17,45,12,0,1,4,1,25,1,10.7,2024
5580429,away,14867,Young Lions,15,630,7,2,6,5,360,4,0,1,90,90,360,90,90,180,90,0,10,5,6,0,1,4,18,3,0.102,16.9,1.018,19,15,12,8,0,4,3,0,2,6,5,1,3,22,8,14,51,"1 day, 2:07:00",125,0:12:00,59,13,47,45,63,62,50,40,0,0,3:48:00,3:57:00,6:56:00,4:00:00,2:47:00,4:36:00,0:00:00,0:00:00,43,10,27,6,3,0,3,2,73,27,11.6,10,5,6,0,1,4,18,3,0.102,16.9,1.018,19,15,12,8,0,4,3,0,2,6,5,1,3,22,8,14,51,"1 day, 2:07:00",125,0:12:00,59,13,47,45,63,62,50,40,0,0,3:48:00,3:57:00,6:56:00,4:00:00,2:47:00,4:36:00,0:00:00,0:00:00,43,10,27,6,3,0,3,2,73,27,11.6,2024
5580430,home,19382,Brunei DPMM,0,0,0,0,0,19,1038,11,3,5,0,0,0,0,244,581,123,90,21,10,6,0,2,3,21,2,0.107,14.9,2.24,18,29,10,4,2,6,1,0,15,15,3,5,12,24,10,14,64,"1 day, 4:07:00",114,0:14:00,78,23,70,69,55,70,58,63,0,0,5:03:00,4:45:00,5:23:00,5:09:00,2:48:00,4:56:00,0:00:00,0:00:00,57,18,42,10,0,4,4,0,20,10,6.1,21,10,6,0,2,3,21,2,0.107,14.9,2.24,18,29,10,4,2,6,1,0,15,15,3,5,12,24,10,14,64,"1 day, 4:07:00",114,0:14:00,78,23,70,69,55,70,58,63,0,0,5:03:00,4:45:00,5:23:00,5:09:00,2:48:00,4:56:00,0:00:00,0:00:00,57,18,42,10,0,4,4,0,20,10,6.1,2024
